code,name_es,group,fifa_points,host,possession,set_piece,cards_factor,corners_factor,shots_factor
MEX,Mexico,A,1650,1,0.52,0.3,1.1,1.0,1.0
RSA,Sudafrica,A,1440,0,0.48,0.32,1.05,0.95,0.95
KOR,Corea del Sur,A,1585,0,0.51,0.3,1.0,1.0,1.0
CZE,Chequia,A,1490,0,0.5,0.34,1.05,1.0,0.98
CAN,Canada,B,1500,1,0.5,0.3,1.05,1.0,1.0
BIH,Bosnia y Herzegovina,B,1430,0,0.49,0.33,1.1,1.0,0.98
QAT,Catar,B,1450,0,0.52,0.28,1.0,1.0,0.97
SUI,Suiza,B,1650,0,0.52,0.31,1.0,1.0,1.0
BRA,Brasil,C,1780,0,0.56,0.26,1.05,1.1,1.08
MAR,Marruecos,C,1710,0,0.52,0.31,1.05,1.0,1.0
HAI,Haiti,C,1320,0,0.46,0.3,1.1,0.92,0.92
SCO,Escocia,C,1500,0,0.49,0.36,1.1,1.0,0.97
USA,Estados Unidos,D,1660,1,0.53,0.3,1.05,1.02,1.02
PAR,Paraguay,D,1480,0,0.48,0.33,1.15,0.97,0.95
AUS,Australia,D,1530,0,0.5,0.34,1.05,1.0,0.98
TUR,Turquia,D,1560,0,0.53,0.31,1.1,1.02,1.02
GER,Alemania,E,1715,0,0.58,0.28,0.92,1.08,1.08
CUW,Curazao,E,1310,0,0.45,0.3,1.1,0.9,0.9
CIV,Costa de Marfil,E,1490,0,0.51,0.31,1.05,1.0,1.0
ECU,Ecuador,E,1570,0,0.5,0.32,1.1,1.0,0.98
NED,Paises Bajos,F,1750,0,0.57,0.28,0.95,1.06,1.06
JPN,Japon,F,1650,0,0.55,0.27,0.88,1.04,1.04
SWE,Suecia,F,1560,0,0.5,0.34,1.0,1.0,1.0
TUN,Tunez,F,1500,0,0.49,0.31,1.05,0.97,0.96
BEL,Belgica,G,1740,0,0.55,0.29,1.0,1.04,1.05
EGY,Egipto,G,1510,0,0.51,0.31,1.05,1.0,0.99
IRN,Iran,G,1630,0,0.5,0.33,1.05,1.0,0.98
NZL,Nueva Zelanda,G,1280,0,0.47,0.32,1.05,0.93,0.92
ESP,Espana,H,1875,0,0.62,0.24,0.95,1.12,1.1
CPV,Cabo Verde,H,1390,0,0.48,0.31,1.05,0.95,0.94
KSA,Arabia Saudi,H,1420,0,0.52,0.29,1.05,0.98,0.96
URU,Uruguay,H,1680,0,0.51,0.32,1.15,1.02,1.01
FRA,Francia,I,1860,0,0.55,0.28,1.0,1.06,1.07
SEN,Senegal,I,1640,0,0.52,0.31,1.1,1.0,1.0
IRQ,Irak,I,1380,0,0.49,0.31,1.1,0.95,0.94
NOR,Noruega,I,1530,0,0.51,0.33,1.0,1.02,1.03
ARG,Argentina,J,1885,0,0.54,0.3,1.1,1.04,1.05
ALG,Argelia,J,1500,0,0.52,0.31,1.1,1.0,0.99
AUT,Austria,J,1580,0,0.52,0.33,1.05,1.02,1.01
JOR,Jordania,J,1380,0,0.49,0.3,1.05,0.95,0.93
POR,Portugal,K,1770,0,0.56,0.29,1.05,1.06,1.06
COD,RD Congo,K,1410,0,0.5,0.31,1.1,0.98,0.97
UZB,Uzbekistan,K,1430,0,0.5,0.31,1.05,0.98,0.96
COL,Colombia,K,1700,0,0.53,0.31,1.1,1.02,1.01
ENG,Inglaterra,L,1820,0,0.56,0.3,1.0,1.06,1.06
CRO,Croacia,L,1700,0,0.55,0.3,1.05,1.02,1.0
GHA,Ghana,L,1430,0,0.5,0.31,1.1,0.98,0.97
PAN,Panama,L,1420,0,0.49,0.31,1.1,0.96,0.94
