match_no,date,group,home,away,partido,sede,pick_principal,pick_prob,confianza,valor_vs_mercado,p_local,p_empate,p_visita,goles_esp,ou_25,ou_15,ou25_valor,ambos_anotan,local_anota,visita_anota,tiros,tiros_puerta,corners,tarjetas_tot
28,2026-06-18,A,MEX,KOR,Mexico vs Corea del Sur,Estadio Guadalajara,1X (Local o empate),0.811,Muy alta,,0.541,0.269,0.189,1.9-1.0,Mas de 2.5 (55%),Mas de 1.5 (81%),,Si (57%),84%,65%,Mexico +16.0 / Corea del Sur +8.5,Mexico +5.5 / Corea del Sur +3.0,Mexico +7.0 / Corea del Sur +3.5,+3.0
29,2026-06-19,D,USA,AUS,Estados Unidos vs Australia,Estadio Seattle,1X (Local o empate),0.835,Muy alta,,0.595,0.24,0.165,2.1-1.1,Mas de 2.5 (62%),Mas de 1.5 (85%),,Si (60%),88%,66%,Estados Unidos +18.5 / Australia +8.5,Estados Unidos +6.5 / Australia +3.0,Estados Unidos +8.5 / Australia +3.5,+3.0
64,2026-06-26,H,URU,ESP,Uruguay vs Espana,Estadio Guadalajara,X2 (Empate o visita),0.839,Muy alta,,0.161,0.294,0.546,0.8-1.6,Menos de 2.5 (57%),Mas de 1.5 (72%),,No (54%),55%,80%,Uruguay +6.5 / Espana +15.0,Uruguay +2.0 / Espana +5.0,Uruguay +2.5 / Espana +7.5,+3.5
60,2026-06-25,D,PAR,AUS,Paraguay vs Australia,Estadio Bahia de San Francisco,X2 (Empate o visita),0.805,Muy alta,,0.195,0.283,0.522,1.0-1.7,Mas de 2.5 (51%),Mas de 1.5 (78%),,Si (54%),63%,82%,Paraguay +7.5 / Australia +14.5,Paraguay +2.5 / Australia +5.0,Paraguay +3.0 / Australia +6.5,+3.0
54,2026-06-24,A,RSA,KOR,Sudafrica vs Corea del Sur,Estadio Monterrey,X2 (Empate o visita),0.846,Muy alta,,0.154,0.274,0.572,0.9-1.8,Menos de 2.5 (51%),Mas de 1.5 (76%),,No (50%),57%,83%,Sudafrica +6.5 / Corea del Sur +15.0,Sudafrica +2.0 / Corea del Sur +5.0,Sudafrica +2.5 / Corea del Sur +7.0,+3.5
71,2026-06-27,J,ALG,AUT,Argelia vs Austria,Estadio Kansas City,X2 (Empate o visita),0.799,Alta,,0.201,0.289,0.511,1.0-1.7,Menos de 2.5 (50%),Mas de 1.5 (77%),,Si (53%),63%,81%,Argelia +8.0 / Austria +14.5,Argelia +2.5 / Austria +5.0,Argelia +3.5 / Austria +6.5,+3.5
26,2026-06-18,B,SUI,BIH,Suiza vs Bosnia y Herzegovina,Estadio Los Angeles,1X (Local o empate),0.85,Muy alta,,0.581,0.27,0.15,1.8-0.8,Menos de 2.5 (51%),Mas de 1.5 (76%),,No (50%),84%,57%,Suiza +15.5 / Bosnia y Herzegovina +6.5,Suiza +5.0 / Bosnia y Herzegovina +2.0,Suiza +7.0 / Bosnia y Herzegovina +2.5,+3.0
44,2026-06-22,J,JOR,ALG,Jordania vs Argelia,Estadio Bahia de San Francisco,X2 (Empate o visita),0.797,Alta,,0.203,0.294,0.503,1.0-1.6,Menos de 2.5 (52%),Mas de 1.5 (76%),,Si (53%),62%,80%,Jordania +7.0 / Argelia +13.5,Jordania +2.5 / Argelia +4.5,Jordania +3.0 / Argelia +6.0,+3.5
30,2026-06-19,C,SCO,MAR,Escocia vs Marruecos,Estadio Boston,X2 (Empate o visita),0.859,Muy alta,,0.141,0.265,0.595,0.8-1.8,Menos de 2.5 (50%),Mas de 1.5 (76%),,No (51%),56%,84%,Escocia +6.0 / Marruecos +15.5,Escocia +2.0 / Marruecos +5.5,Escocia +2.5 / Marruecos +7.0,+3.5
38,2026-06-21,G,BEL,IRN,Belgica vs Iran,Estadio Los Angeles,1X (Local o empate),0.792,Alta,,0.508,0.284,0.208,1.7-1.0,Mas de 2.5 (52%),Mas de 1.5 (79%),,Si (56%),82%,65%,Belgica +15.5 / Iran +8.5,Belgica +5.0 / Iran +3.0,Belgica +7.0 / Iran +3.5,+3.5
