match_no,date,group,home,away,venue,p_home,p_draw,p_away,xg_home,xg_away,p_over25,p_btts,corners_home,corners_away,cards_home,cards_away
24,2026-06-17,K,UZB,COL,CDMX,0.0962,0.2385,0.6653,0.66,1.97,0.4885,0.4336,3.1,8.9,2.0,2.1
25,2026-06-18,A,CZE,RSA,ATL,0.3977,0.3213,0.281,1.35,1.11,0.4458,0.5221,5.9,4.5,2.2,2.2
26,2026-06-18,B,SUI,BIH,LA,0.5807,0.2697,0.1496,1.81,0.84,0.4949,0.4982,8.0,3.6,2.0,2.2
27,2026-06-18,B,CAN,QAT,VAN,0.4504,0.2948,0.2547,1.6,1.17,0.5223,0.5729,6.9,5.1,2.2,2.1
28,2026-06-18,A,MEX,KOR,GDL,0.5414,0.2691,0.1894,1.85,1.04,0.5522,0.5669,8.1,4.5,2.2,2.0
29,2026-06-19,D,USA,AUS,SEA,0.5954,0.2395,0.1651,2.13,1.08,0.622,0.6003,9.6,4.6,2.1,2.1
30,2026-06-19,C,SCO,MAR,BOS,0.1405,0.2648,0.5947,0.82,1.84,0.4959,0.4909,3.5,8.1,2.2,2.1
31,2026-06-19,C,BRA,HAI,PHI,0.8745,0.1029,0.0226,3.09,0.46,0.6896,0.362,12.0,2.8,1.9,2.0
32,2026-06-19,D,TUR,PAR,SF,0.4191,0.3076,0.2733,1.47,1.16,0.4888,0.5529,6.7,4.7,2.1,2.2
36,2026-06-20,F,TUN,JPN,MTY,0.1152,0.2142,0.6706,0.9,2.3,0.6203,0.5514,3.7,10.7,2.2,1.9
35,2026-06-20,E,ECU,CUW,KC,0.6972,0.2106,0.0922,2.25,0.75,0.5751,0.4874,10.0,2.8,2.1,2.1
34,2026-06-20,E,GER,CIV,TOR,0.6656,0.221,0.1134,2.21,0.85,0.592,0.5291,10.8,3.6,1.9,2.2
33,2026-06-20,F,NED,SWE,HOU,0.499,0.2766,0.2245,1.78,1.15,0.5626,0.5914,8.5,4.8,2.1,2.2
37,2026-06-21,H,ESP,KSA,ATL,0.8034,0.1531,0.0435,2.6,0.54,0.6077,0.3982,12.2,2.9,1.9,2.1
38,2026-06-21,G,BEL,IRN,LA,0.5076,0.2841,0.2084,1.72,1.05,0.5222,0.5555,7.9,4.4,2.1,2.2
39,2026-06-21,H,URU,CPV,MIA,0.6011,0.2739,0.125,1.73,0.7,0.4377,0.4345,7.8,3.0,2.2,2.0
40,2026-06-21,G,NZL,EGY,VAN,0.1275,0.2507,0.6219,0.81,1.95,0.5189,0.4941,3.2,8.6,2.1,2.1
41,2026-06-22,J,ARG,AUT,DAL,0.7336,0.1897,0.0767,2.41,0.72,0.6044,0.4808,10.9,3.2,2.1,2.0
42,2026-06-22,I,FRA,IRQ,PHI,0.95,0.0421,0.0078,4.3,0.46,0.8567,0.37,11.3,2.9,1.8,1.9
43,2026-06-22,I,NOR,SEN,NYNJ,0.3021,0.2961,0.4017,1.31,1.53,0.539,0.5947,5.8,6.7,2.1,2.3
44,2026-06-22,J,JOR,ALG,SF,0.2032,0.294,0.5028,0.98,1.63,0.4839,0.5255,4.0,7.2,2.1,2.2
47,2026-06-23,L,PAN,CRO,TOR,0.0875,0.2007,0.7118,0.76,2.34,0.5976,0.4956,3.1,10.7,2.1,2.0
48,2026-06-23,K,COL,COD,GDL,0.6468,0.25,0.1032,1.89,0.66,0.4679,0.4294,8.5,3.1,2.1,2.1
45,2026-06-23,K,POR,UZB,HOU,0.7153,0.2089,0.0757,2.18,0.62,0.5304,0.4276,10.3,3.0,2.0,2.0
46,2026-06-23,L,ENG,GHA,BOS,0.8393,0.1229,0.0378,3.02,0.62,0.7043,0.4477,11.3,3.0,1.8,2.0
49,2026-06-24,B,SUI,CAN,VAN,0.4665,0.2876,0.2459,1.67,1.18,0.5413,0.584,7.3,5.0,2.1,2.2
50,2026-06-24,B,BIH,QAT,SEA,0.3084,0.3273,0.3643,1.15,1.26,0.4334,0.5159,4.9,5.6,2.3,2.1
51,2026-06-24,C,SCO,BRA,MIA,0.104,0.2423,0.6536,0.69,1.96,0.4953,0.4495,3.0,9.7,2.1,2.0
52,2026-06-24,C,MAR,HAI,ATL,0.8272,0.1369,0.0359,2.74,0.51,0.6322,0.3873,10.7,2.8,1.9,2.0
53,2026-06-24,A,CZE,MEX,CDMX,0.0823,0.1942,0.7234,0.74,2.39,0.606,0.4925,3.2,10.5,2.0,2.1
54,2026-06-24,A,RSA,KOR,MTY,0.1544,0.2736,0.572,0.85,1.78,0.4897,0.4985,3.5,7.8,2.2,2.1
60,2026-06-25,D,PAR,AUS,SF,0.195,0.2831,0.5219,1.0,1.72,0.5117,0.5412,4.2,7.6,2.2,2.0
58,2026-06-25,F,TUN,NED,KC,0.0672,0.161,0.7718,0.78,2.74,0.6815,0.5171,3.1,11.4,2.1,1.9
59,2026-06-25,D,TUR,USA,LA,0.1051,0.1969,0.698,0.92,2.47,0.659,0.5664,4.1,10.6,2.1,2.0
56,2026-06-25,E,ECU,GER,NYNJ,0.1135,0.2201,0.6663,0.86,2.22,0.5955,0.5318,3.6,10.9,2.2,1.9
55,2026-06-25,E,CUW,CIV,PHI,0.0923,0.21,0.6977,0.75,2.25,0.5777,0.4895,2.8,10.1,2.1,2.0
57,2026-06-25,F,JPN,SWE,DAL,0.3859,0.2973,0.3168,1.49,1.34,0.5387,0.596,6.9,5.7,2.0,2.3
61,2026-06-26,I,NOR,FRA,BOS,0.0701,0.1647,0.7652,0.79,2.71,0.6777,0.5206,3.4,11.2,2.0,2.0
62,2026-06-26,I,SEN,IRQ,TOR,0.7272,0.1897,0.0831,2.45,0.77,0.6251,0.5074,10.5,3.1,2.0,2.0
63,2026-06-26,H,CPV,KSA,HOU,0.3137,0.3487,0.3376,1.05,1.1,0.365,0.4616,4.3,4.8,2.2,2.2
64,2026-06-26,H,URU,ESP,GDL,0.1605,0.2937,0.5458,0.8,1.62,0.4342,0.4635,3.3,8.3,2.4,1.9
65,2026-06-26,G,EGY,IRN,SEA,0.2661,0.306,0.4278,1.14,1.49,0.4906,0.5526,5.0,6.4,2.2,2.2
66,2026-06-26,G,NZL,BEL,VAN,0.0358,0.1266,0.8376,0.57,2.92,0.6767,0.4189,2.8,11.2,2.0,1.9
71,2026-06-27,J,ALG,AUT,KC,0.2006,0.2888,0.5105,0.99,1.68,0.4985,0.5347,4.3,7.4,2.2,2.1
67,2026-06-27,L,PAN,ENG,NYNJ,0.0201,0.0836,0.8962,0.53,3.48,0.7637,0.4049,2.9,11.4,2.0,1.8
68,2026-06-27,L,CRO,GHA,PHI,0.6203,0.2444,0.1354,2.03,0.88,0.5558,0.528,9.2,3.7,2.0,2.1
69,2026-06-27,K,COL,POR,MIA,0.2912,0.3281,0.3807,1.1,1.29,0.4269,0.509,4.8,6.0,2.2,2.1
70,2026-06-27,K,COD,UZB,ATL,0.346,0.3346,0.3195,1.19,1.14,0.4106,0.4986,5.1,4.8,2.3,2.2
72,2026-06-27,J,JOR,ARG,DAL,0.0091,0.0536,0.9372,0.41,3.9,0.8057,0.3366,2.9,11.0,1.8,1.9
