code,name,group,p_advance,p_win_group,p_R16,p_QF,p_SF,p_final,p_champion,p_g1,p_g2,p_g3,p_g4
ARG,Argentina,J,0.9998,0.9054,0.8089,0.6801,0.5571,0.3796,0.2517,0.9054,0.0917,0.0028,0.0001
FRA,Francia,I,0.9999,0.9172,0.8637,0.6401,0.487,0.3391,0.2036,0.9172,0.077,0.0056,0.0001
ENG,Inglaterra,L,0.9996,0.9594,0.853,0.61,0.4328,0.2445,0.1457,0.9594,0.0369,0.0034,0.0004
ESP,Espana,H,0.9456,0.6343,0.6464,0.4657,0.3258,0.1824,0.0956,0.6343,0.2306,0.1031,0.032
BRA,Brasil,C,0.9752,0.4994,0.6012,0.4196,0.2018,0.0992,0.0439,0.4994,0.3564,0.1304,0.0138
GER,Alemania,E,0.9991,0.82,0.7653,0.3284,0.1998,0.1038,0.0426,0.82,0.1449,0.0346,0.0004
USA,Estados Unidos,D,0.997,0.7746,0.754,0.4628,0.244,0.1048,0.0399,0.7746,0.1914,0.0323,0.0017
POR,Portugal,K,0.8822,0.3812,0.5867,0.3567,0.162,0.0692,0.0265,0.3812,0.3834,0.1724,0.063
NED,Paises Bajos,F,0.9273,0.406,0.5052,0.3402,0.1434,0.0654,0.0264,0.406,0.3384,0.2133,0.0422
BEL,Belgica,G,0.9508,0.5694,0.6743,0.3265,0.1614,0.0628,0.0226,0.5694,0.2824,0.1164,0.0318
MAR,Marruecos,C,0.9598,0.383,0.5142,0.3254,0.132,0.0583,0.021,0.383,0.4174,0.1779,0.0216
COL,Colombia,K,0.916,0.4968,0.5808,0.3414,0.133,0.0552,0.0187,0.4968,0.2903,0.153,0.06
MEX,Mexico,A,0.9942,0.7128,0.7044,0.2912,0.1244,0.042,0.0135,0.7128,0.2404,0.044,0.0028
CRO,Croacia,L,0.8691,0.0168,0.4632,0.204,0.0866,0.028,0.0086,0.0168,0.6936,0.2309,0.0588
JPN,Japon,F,0.861,0.252,0.3692,0.2002,0.0658,0.0228,0.006,0.252,0.3463,0.3182,0.0836
URU,Uruguay,H,0.7464,0.2374,0.2734,0.1344,0.062,0.0193,0.005,0.2374,0.3565,0.2696,0.1365
SWE,Suecia,F,0.9782,0.3358,0.3858,0.1916,0.0528,0.0167,0.0048,0.3358,0.2982,0.3551,0.0109
SUI,Suiza,B,0.8452,0.4546,0.464,0.2076,0.0562,0.0183,0.0045,0.4546,0.2663,0.1742,0.1049
AUT,Austria,J,0.9472,0.0934,0.3371,0.148,0.0544,0.0148,0.0036,0.0934,0.705,0.1959,0.0056
KOR,Corea del Sur,A,0.9541,0.268,0.546,0.1795,0.0464,0.014,0.0034,0.268,0.5674,0.1426,0.022
SEN,Senegal,I,0.7967,0.0081,0.4035,0.1544,0.0458,0.0126,0.0032,0.0081,0.4236,0.4962,0.0722
